Un imposible me mata
Querido imposible mio
Amariles yo no puedo
Más merece quien más ama
En carroza de cristal
Ojos, yo no di licencia
A dónde corres arroyo
Alarma alarma luzeros
La belleza de Amariles
Aquella deidad del tajo
Ojos bellos, quién ha visto
Filis yo por ti me muero
Celebrando esta el Amor
Triste tortola que en quejas
A los sonoros encuentros
Norabuena venga al mundo
Ha del mar, ha del hermoso
Divina aurora alemana
Perlas iban cogiendo
Quién dira que mi destino
En pedazos va cayendo
Quién dira que tus dos niñas
De la hermosura de Filis
Una fuente se despeña
Campos del Tajo Amariles
Enternecido un peñasco
Aflicto corazón mío
Si hay imán que a un duro acero
Con el cántaro Marica
El curso transparente
Airecillos mansos
Su hielo esgrimiendo la noche
Helado sol en llamas
Ay, que me llevan suspiros
Abejuela susurrante
Deseos de un imposible
Donde volais, pensamientos
Al compás de un arroyuelo
Ni el remedio espero ni el morir admito
Ay qué llanto, ay qué penas
Venturoso y rico estoy amor
Ola, tened que marica
A los encuentros del aire
Altiva peña respeitas
Las redes sobre la arena
Nunca acabó de morir
Qué valentones
Salió el sol, una mañana
Cuando los deseos son tan divinos
Y doliéndose todos
Por hacer apacibles los bosques
¡Piedad, favor, socorro!
Ansi, prenda querida
Que aunque matan sus ojos
Ay bella niña
Y la tirana, aunque ve la fineza
Aunque diga que vivo
Más valéis vos Antona
Ya no quiero navegar
Deidad, que divina enseñas
Huyendo baja un arroyo
Aquella que mis males
Qué bien siente Manzanares
Qué me quieres ciego niño
Del silencio de este valle
Para vos y para mi
Sembrando estaba papeles un labrador afligido
Quién ha hecho a los míos ojos
Ay dulce suspiro mío
Esperava en su barquilla
En ti hallé querida Filis
Laurelia del alma mía
Junto a un arroyo de plata
Válgate Dios por Jacinta
Los diamantes de las noche
Derramando estaba perlas
Por alegrar la mañana
